column,count,missing_pct,mean,median,mode,std,min,p25,p75,p90,max
revenue_contract,21566,0.12,291.9132430677919,0.0,0.0,1633.4048947324009,0.0,0.0,0.0,0.0,11500.0
revenue_cash,21567,0.12,43.754393286038855,0.0,0.0,361.6045383563909,0.0,0.0,0.0,0.0,11500.0
sla_minutes,15533,28.06,1930.437055516213,331.56666666666666,10.183333333333334,12287.54392690108,0.05,73.0,938.6333333333333,1767.1666666666704,448474.4
offer_total_amount,4164,80.72,7148.009846301633,11000.0,11000.0,4637.9356676143325,0.0,3000.0,11000.0,11000.0,11500.0
initial_amount_paid,4149,80.78,940.2535550735117,1000.0,1000.0,1416.03050661878,0.0,300.0,1000.0,1000.0,11500.0
course_duration,3587,83.39,10.198494563702258,11.0,11.0,1.8346810679044288,6.0,11.0,11.0,11.0,11.0
months_of_study,840,96.11,5.442857142857143,5.0,6.0,2.9199199016838246,0.0,3.0,8.0,10.0,11.0
