source,count,share_pct
Facebook Ads,9569,48.18
Tiktok Ads,2985,15.03
Youtube Ads,1784,8.98
Google Ads,1266,6.37
Telegram posts,836,4.21
Webinar,766,3.86
Bloggers,632,3.18
SMM,571,2.87
Organic,514,2.59
CRM,355,1.79
Test,262,1.32
Partnership,234,1.18
Offline,61,0.31
Radio,27,0.14
