column,count,missing_pct,mean,median,mode,std,min,p25,p75,p90,max
call_duration_seconds,95791,0.09,164.9772629996555,8.0,0.0,401.4108262230999,0.0,4.0,98.0,507.0,7625.0
call_duration_minutes,95791,0.09,2.749567391508597,0.13,0.0,6.690196865434077,0.0,0.07,1.63,8.45,127.08
