date,deals,paid_deals,revenue_cash,revenue_contract,spend,calls,paid_rate,cpa_contract,roas_contract,deals_ma7,paid_deals_ma7,spend_ma7
2023-06-30,0.0,0.0,0.0,0.0,0.0,7.0,,,,0.0,0.0,0.0
2023-07-03,3.0,0.0,0.0,0.0,10.27,2.0,0.0,,0.0,1.5,0.0,5.135
2023-07-04,8.0,1.0,1000.0,11000.0,48.19,5.0,0.125,48.19,228.26312512969497,3.6666666666666665,0.3333333333333333,19.486666666666665
2023-07-05,7.0,0.0,0.0,0.0,96.14,4.0,0.0,,0.0,4.5,0.25,38.65
2023-07-06,7.0,0.0,0.0,0.0,87.13,29.0,0.0,,0.0,5.0,0.2,48.346
2023-07-07,10.0,0.0,0.0,0.0,91.83,27.0,0.0,,0.0,5.833333333333333,0.16666666666666666,55.593333333333334
2023-07-08,15.0,1.0,1000.0,11500.0,141.89,32.0,0.06666666666666667,141.89,81.04869969694835,7.142857142857143,0.2857142857142857,67.92142857142856
2023-07-09,11.0,0.0,0.0,0.0,139.87,48.0,0.0,,0.0,8.714285714285714,0.2857142857142857,87.90285714285713
2023-07-10,18.0,0.0,0.0,0.0,140.51999999999998,59.0,0.0,,0.0,10.857142857142858,0.2857142857142857,106.50999999999999
2023-07-11,9.0,0.0,0.0,0.0,119.77,18.0,0.0,,0.0,11.0,0.14285714285714285,116.73571428571428
2023-07-12,21.0,0.0,0.0,0.0,99.15,28.0,0.0,,0.0,13.0,0.14285714285714285,117.16571428571429
2023-07-13,25.0,0.0,0.0,0.0,107.72,94.0,0.0,,0.0,15.571428571428571,0.14285714285714285,120.10714285714286
2023-07-14,32.0,0.0,0.0,0.0,172.86,105.0,0.0,,0.0,18.714285714285715,0.14285714285714285,131.68285714285713
2023-07-15,22.0,1.0,450.0,4000.0,158.73000000000002,26.0,0.045454545454545456,158.73000000000002,25.2000252000252,19.714285714285715,0.14285714285714285,134.0885714285714
